"Time","rectifier.thyristor_p1.off","rectifier.thyristor_p2.off","rootMeanSquareVoltage.mean.y","pulse2.twoPulse.timerPositive[1].entryTime","rectifier.thyristor_n2.off","inductor.i","meanCurrent.x","rectifier.thyristor_n1.off","rootMeanSquareVoltage.mean.x","meanVoltage.x","pulse2.twoPulse.timerNegative[1].entryTime","meanCurrent.y","meanVoltage.y"
4.9809971,1,0,12099.979,4.98,1,6.2590027,0.0062606111,0,0.77428353,-0.024104457,4.9699998,6.1165013,0.77838945
4.9811974,1,0,12099.979,4.98,1,6.2474766,0.0075113387,0,1.328253,-0.034617122,4.9699998,6.1165013,0.77838945
4.9813972,1,0,12099.979,4.98,1,6.2341824,0.0087595824,0,2.0897613,-0.046947535,4.9699998,6.1165013,0.77838945
4.9815974,1,0,12099.979,4.98,1,6.2191753,0.010004996,0,3.0849671,-0.061047036,4.9699998,6.1165013,0.77838945
4.9817972,1,0,12099.979,4.98,1,6.2025185,0.011247242,0,4.3363442,-0.076859973,4.9699998,6.1165013,0.77838945
4.9819975,1,0,12099.979,4.98,1,6.1842804,0.012485996,0,5.8623247,-0.094323941,4.9699998,6.1165013,0.77838945
4.9821973,1,0,12099.979,4.98,1,6.1645365,0.013720951,0,7.6770115,-0.11337,4.9699998,6.1165013,0.77838945
4.9823976,1,0,12099.979,4.98,1,6.1433668,0.014951813,0,9.7899523,-0.13392299,4.9699998,6.1165013,0.77838945
4.9825974,1,0,12099.979,4.98,1,6.1208591,0.016178306,0,12.205992,-0.15590179,4.9699998,6.1165013,0.77838945
4.9827971,1,0,12099.979,4.98,1,6.097105,0.017400172,0,14.925194,-0.17921963,4.9699998,6.1165013,0.77838945
4.9829974,1,0,12099.979,4.98,1,6.0722013,0.018617168,0,17.942842,-0.20378453,4.9699998,6.1165013,0.77838945
4.9831972,1,0,12099.979,4.98,1,6.0462489,0.019829078,0,21.24951,-0.22949947,4.9699998,6.1165013,0.77838945
4.9833975,1,0,12099.979,4.98,1,6.0193539,0.021035701,0,24.831217,-0.25626302,4.9699998,6.1165013,0.77838945
4.9835973,1,0,12099.979,4.98,1,5.9916253,0.022236859,0,28.669641,-0.28396949,4.9699998,6.1165013,0.77838945
4.9837976,1,0,12099.979,4.98,1,5.9631753,0.023432398,0,32.742413,-0.31250957,4.9699998,6.1165013,0.77838945
4.9839973,1,0,12099.979,4.98,1,5.9341197,0.024622183,0,37.023468,-0.34177059,4.9699998,6.1165013,0.77838945
4.9841976,1,0,12099.979,4.98,1,5.9045753,0.025806107,0,41.483452,-0.37163711,4.9699998,6.1165013,0.77838945
4.9843974,1,0,12099.979,4.98,1,5.8746629,0.026984083,0,46.090199,-0.40199116,4.9699998,6.1165013,0.77838945
4.9845972,1,0,12099.979,4.98,1,5.8445024,0.028156048,0,50.809216,-0.43271303,4.9699998,6.1165013,0.77838945
4.9847975,1,0,12099.979,4.98,1,5.8142171,0.029321969,0,55.604259,-0.46368143,4.9699998,6.1165013,0.77838945
4.9849849,1,0,12099.979,4.98,1,5.7858095,0.030409859,0,60.136795,-0.4928388,4.9699998,6.1165013,0.77838945
